ProductID;ProductName;Size;UnitCost
1-FV;Geraniums;4.5 inch pot;$4.50 
2-FV;New Guinea Impatiens (Sun Harmony) - Full Sun;4.5 inch pot;$4.50 
3-FV;Wave Petunias;4.5 inch pot;$4.50 
4-FV;Non-Stop Begonias;4.5 inch pot;$4.50 
5-FV;Dahlia;4.5 inch pot;$4.50 
6-FV;Vinca Vine;4.5 inch pot;$3.50 
7-FV;Dracena;4.5 inch pot;$3.50 
8-FV;Gerbera Daisy;6 inch pot;$7.00 
9-FV;New Guinea Impatiens Mix;6-pack;$4.00 
10-FV;Marigold Dwarf Mix;6-pack;$4.00 
11-FV;Petunias Mix;6-pack;$4.00 
12-FV;Snap Dragons Dwarf Mix;6-pack;$4.00 
13-FV;Vinca Mix;6-pack;$4.00 
14-FV;Begonia Green Leaf Mix;6-pack;$4.00 
15-FV;Verbena (Homestead Purple) - Full Sun;10" hanging basket;$19.50 
16-FV;Fuchsia - Shade/Partial Sun;10" hanging basket;$19.50 
17-FV;Santa Fe Begonias (Orangy-Red, Droopy) - Partial Sun;10" hanging basket;$19.50 
18-FV;New Guinea Impatiens - Partial Sun;10" hanging basket;$19.50 
19-FV;Ivy Geranium - Partial Sun;10" hanging basket;$19.50 
20-FV;Wave Petunias - Full Sun;10" hanging basket;$19.50 
21-FV;Million Bell Petunias - Full Sun (Calibrachoa);10" hanging basket;$19.50 
22-FV;Floribunda Geraniums - Full Sun;10" hanging basket;$19.50 
23-FV;Italian Parsley;4.5 inch pot;$3.75 
24-FV;Italian Oregano;4.5 inch pot;$3.75 
25-FV;Sage;4.5 inch pot;$3.75 
26-FV;English Tyme;4.5 inch pot;$3.75 
27-FV;Chives;4.5 inch pot;$3.75 
28-FV;Rosemary;4.5 inch pot;$3.75 
29-FV;Cayenne chili pepper;3 inch pot;$3.50 
30-FV;Jalapeño;3 inch pot;$3.50 
31-FV;Tomatoes - Early Girl;6-pack;$3.75 
32-FV;Tomatoes - Better Boy;6-pack;$3.75 
33-FV;Tomatoes - Sweet 100 (Cherry Tomato);6-pack;$3.75 
34-FV;Bell Peppers;6-pack;$3.75 
35-FV;Cucumber;6-pack;$3.75 
36-FV;Zucchini;6-pack;$3.75 
37-FV;Basil (Sweet);6-pack;$3.75 
1-P;Daylily - Entrapment (Lavender w/ Lime);1 gal. pot;$8.00 
2-P;Daylily - Stella d'Oro' (Golden Yellow);1 gal. pot;$8.00 
3-P;Daylily - Strawberry Candy (Pink w/ Rasberry);1 gal. pot;$8.00 
4-P;Creeping Phlox - Emerald Blue (Blue);1 gal. pot;$8.00 
5-P;Creeping Phlox - Emerald Pink (Pink);1 gal. pot;$8.00 
6-P;Creeping Phlox - Snowflakes (White);1 gal. pot;$8.00 
7-P;Creeping Phlox - Purple Beauty (Purple);1 gal. pot;$8.00 
8-P;Cone Flower - Cheyenne Spirit (Multi);1 gal. pot;$8.00 
9-P;Cone Flower - Baby Swan (White);1 gal. pot;$8.00 
10-P;Cone Flower - Primadonna Deep Rose (Pink);1 gal. pot;$8.00 
11-P;Black-eyed Susan - Goldstrum (yellow);1 gal. pot;$8.00 
12-P;Helleborus - Ivory Prince (white);1 gal. pot;$17.00 
13-P;Helleborus - Pink Fizz (pink);1 gal. pot;$17.00 
14-P;Helleborus - Mango Magic (apricot);1 gal. pot;$17.00 
15-P;German Iris - Breakers (purple and blue);1 gal. pot;$14.00 
16-P;German Iris - Orange Harvest (orange);1 gal. pot;$14.00 
17-P;German Iris - Rio Rojo (red);1 gal. pot;$14.00 
18-P;German Iris - Raven Girl (black);1 gal. pot;$14.00 
19-P;German Iris - Butter and Sugar (yellow);1 gal. pot;$14.00 
20-P;Volcano Phlox - Pink with red eye;1 gal. pot;$12.00 
21-P;Volcano Phlox - Purple;1 gal. pot;$12.00 
22-P;Volcano Phlox - Ruby;1 gal. pot;$12.00 
23-P;Volcano Phlox - White;1 gal. pot;$12.00 
24-P;Hens and Chicks;1 gal. pot;$9.00 
25-P;Liriope - Variegated (Green/White Foliage,Purple Flowers);1 gal. pot;$8.00 
26-P;Ornamental Grass - Elijah Blue (Low, Compact Blue Grass);1 gal. pot;$8.00 
27-P;Hosta - Patriot (Varigated, Green & White Leaves);1 gal. pot;$8.00 
28-P;Hosta - Royal Standard (Dark Green Leaves);1 gal. pot;$8.00 
29-P;Hosta - Blue Angel (Deep Blue Leaves);1 gal. pot;$8.00 
30-P;Hosta - Pauls Glory  (Green & Yellow Leaves);1 gal. pot;$8.00 
31-P;Viola Etain - (purple, white, yellow);1 gal. pot;$8.00 
32-P;Nepeta (Cat Mint) - Walkers Low (blue);1 gal. pot;$8.00 
33-P;Clematis (Raymond Evison) - Fleuri (dark purple/pink);1.5 gal pot;$22.00 
34-P;Clematis (Raymond Evison) - Rebecca (red);1.5 gal pot;$22.00 
35-P;Clematis (Raymond Evison) - Chelsea (pale blush/white);1.5 gal pot;$22.00 
36-P;Clematis (Raymond Evison) - Cherokee (pink);1.5 gal pot;$22.00 
37-P;Clematis (Raymond Evison) - Samaritan Jo (white w/purple edge);1.5 gal pot;$22.00 
38-P;Shasta Daisy (Becky - White;1 gal. pot;$8.00 
39-P;Knockout Rose (Red Blooming Shrub);2 gal. container;$22.00 
40-P;Knockout Rose (Blushing (Pink) Blooming Shrub);2 gal. container;$22.00 
41-P;Knockout Rose (Sunny (Yellow Blooming Shrub);2 gal. container;$22.00 
01-L;Pine Bark Mulch - Fine;2 Cu. Ft.;$6.00
02-L;Hardwood Mulch - Black Dyed;2 Cu Ft.;$6.00
03-L;Right Dress Root Mulch;1.5 Cu. Ft.;$7.50
04-L;Bulk Hardwood Mulch - Delivered;1 yard approx.;$45.00
05-L;Premium Potting/Garden Soil  Dr. Earth (Vegetables, Plants, Flowers, Containers);1.5 Cu. Ft.;$18.00
06-L;Better Potting Soil;40 lbs.;$6.00
07-L;Humus (Composted Cow Manure);40 lbs.;$4.00
08-L;Better Top Soil;40 lbs.;$5.00
09-L;Premium Shady Grass Seed;3 lb. Bag;$16.00 
10-L;Premium Shady Grass Seed;10 lb. Bag;$45.00 
11-L;Premium Sunny Grass Seed;3 lb. Bag;$15.00 
12-L;Premium Sunny Grass Seed;10 lb. Bag;$45.00 
13-L;Premium Rye Grass Seed;3 lb. Bag;$15.00 
14-L;Premium Rye Grass Seed;10 lb. Bag;$45.00 
15-L;Premium Tall Fescue Grass Seed;3 lb. Bag;$15.00 
16-L;Premium Tall Fescue Grass Seed;10 lb. Bag;$40.00 
17-L;Seed Accelorator (covers 200 sq.ft.);10 lb. Bag;$14.00 
18-L;Step 1 Fertilizer and Crab Grass Control 18-00-10 (covers 5000 sq.ft.);20 lbs. Bag;$22.00 
19-L;Step 2 Weed and Feed 20-00-10 (covers 5000 sq.ft.);20 lbs. Bag;$23.00 
20-L;Step 3 Summer Fertilizer 9-18-10 (covers 5000 sq.ft.);20 lbs. Bag;$20.00 
21-L;Step 4 Fall Fertilizer 20-00-10 (covers 5000 sq.ft.);20 lbs. Bag;$22.00 
22-L;Step 1 Fertilizer and Crab Grass Control 18-00-10 (covers 10,000 sq.ft.);40 lbs. Bag;$39.00 
23-L;Step 2 Weed and Feed 20-00-10 (covers 10,000 sq.ft;40 lbs. Bag;$41.00 
24-L;Step 3 Summer Fertilizer 9-18-10 covers 10,000 sq.ft);40 lbs. Bag;$38.00 
25-L;Step 4 Fall Fertilizer 20-00-10 (covers 10,000 sq.ft.);40 lbs. Bag;$43.00 
26-L;Lime Turf Turbo Slow Release (5,000 sq ft);30 lbs. Bag;$24.00 
27-L;Holly-tone (Acid-loving Plant Food) - 100% Organic;8 lbs.;$13.00 
28-L;Holly-tone (Acid-loving Plant Food) - 100% Organic;18 lbs;$20.00 
29-L;Holly-tone (Acid-loving Plant Food) - 100% Organic;36 lbs.;$30.00 
30-L;Bio-Tone Starter Plus (slow release starter fertilizer for plants);4 lbs;$11.00 
31-L;Bio-Tone Starter Plus (slow release starter fertilizer for plants);25 lbs;$45.00 
32-L;Wild Bird Food;20 lbs.;$15.00
33-L;Premium Wild Bird Food;25 lbs;$25.00
34-L;Wild Bird Suet Cakes (single Nutty Treat);11.75 oz;$1.50
35-L;Wild Bird Suet Cakes (12 pack Nutty Treat );11.75 oz;$17.00
36-L;Finch Mix Lyric;5 lbs;$12.00
37-L;Finch Mix Lyric;20 lbs. Bag;$35.00
38-L;Black Oil Sunflower;25 lbs;$18.00 
39-L;Lyric Supreme Premium Bird Seed;20 lbs. Bag;$25.00 
40-L;Biodegrade Lawn Refuse Bags;5 Pack;$3.50 
